,id_order,payment_type,payment_installments,payment_value
0,60330,credit_card,8,99.33
1,20504,credit_card,1,24.39
2,99373,credit_card,1,65.71
3,86824,credit_card,8,107.78
4,22591,credit_card,2,128.45
5,92776,credit_card,2,96.12
6,38933,credit_card,1,81.16
7,22230,credit_card,3,51.84
8,56182,credit_card,6,341.09
9,967,boleto,1,51.95
10,57154,credit_card,8,188.73
11,42324,credit_card,1,141.9
12,42131,credit_card,1,75.78
13,52837,credit_card,5,102.66
14,19392,credit_card,4,105.28
15,60670,credit_card,10,157.45
16,33667,credit_card,1,132.04
17,44169,credit_card,1,98.94
18,41176,credit_card,4,244.15
19,56739,credit_card,3,136.71
20,10984,credit_card,4,47.69
21,80034,credit_card,2,170.57
22,7155,credit_card,4,67.5
23,91595,credit_card,10,353.09
24,50162,boleto,1,330.66
25,50811,voucher,1,45.17
26,15423,credit_card,2,541.0
27,30123,credit_card,2,139.22
28,28286,credit_card,2,290.16
29,36834,boleto,1,283.34
30,96794,credit_card,1,13.78
31,96081,credit_card,1,30.28
32,33029,credit_card,1,26.58
33,99868,credit_card,1,89.68
34,953,credit_card,1,65.09
35,21023,credit_card,1,173.84
36,11298,credit_card,1,103.49
37,17788,credit_card,1,64.03
38,91049,credit_card,3,157.15
39,99594,boleto,1,130.88
40,57522,credit_card,2,47.72
41,90242,credit_card,8,117.74
42,55221,boleto,1,56.6
43,44761,credit_card,1,266.16
44,1947,boleto,1,31.38
45,84926,credit_card,1,121.49
46,32363,credit_card,1,32.0
47,30637,credit_card,5,153.41
48,37183,credit_card,5,65.71
49,5391,credit_card,4,278.22
50,15781,credit_card,4,91.66
51,12366,credit_card,1,132.51
52,77917,credit_card,4,542.66
53,54931,boleto,1,166.04
54,26925,boleto,1,368.98
55,81207,credit_card,2,113.2
56,85843,credit_card,3,99.43
57,98015,credit_card,2,27.35
58,60810,credit_card,4,43.77
59,93553,credit_card,2,68.49
60,55345,credit_card,2,105.53
61,30932,credit_card,8,387.8
62,70506,boleto,1,84.14
63,76250,credit_card,4,210.82
64,4026,boleto,1,90.05
65,16742,credit_card,1,67.88
66,78365,credit_card,2,37.58
67,30749,boleto,1,89.63
68,51664,voucher,1,69.46
69,94657,credit_card,2,78.3
70,40340,voucher,1,50.8
71,21940,credit_card,1,34.0
72,92987,boleto,1,77.1
73,16664,credit_card,5,566.4
74,66189,credit_card,8,402.42
75,25871,voucher,1,57.53
76,63262,credit_card,3,44.01
77,6226,credit_card,3,187.51
78,43561,credit_card,3,77.7
79,45464,credit_card,1,48.68
80,61086,credit_card,1,77.29
81,8186,credit_card,8,117.71
82,12058,credit_card,3,169.34
83,10632,credit_card,1,37.61
84,61533,credit_card,1,13.8
85,65090,debit_card,1,227.12
86,73798,credit_card,3,34.78
87,57871,credit_card,10,342.56
88,53069,credit_card,7,73.34
89,22511,credit_card,4,117.85
90,69463,credit_card,1,48.62
91,39661,credit_card,1,53.99
92,70254,credit_card,1,51.14
93,34479,credit_card,2,121.45
94,13732,credit_card,1,73.34
95,4985,credit_card,10,117.68
96,63752,credit_card,1,56.77
97,68041,credit_card,2,115.59
98,55749,credit_card,6,60.07
99,37728,credit_card,1,27.27
100,24203,boleto,1,32.15
101,62700,credit_card,3,195.71
102,26643,voucher,1,43.12
103,67240,credit_card,1,88.49
104,27594,credit_card,3,34.09
105,34788,credit_card,1,40.99
106,91280,credit_card,3,71.99
107,72700,boleto,1,47.0
108,74495,credit_card,3,81.78
109,18598,credit_card,3,231.45
110,90352,credit_card,7,144.2
111,81892,debit_card,1,35.14
112,12951,credit_card,10,285.79
113,4188,credit_card,2,176.7
114,38790,credit_card,2,27.63
115,23901,credit_card,8,134.56
116,54423,credit_card,4,96.98
117,3517,credit_card,2,110.03
118,7421,credit_card,1,17.78
119,16926,credit_card,1,44.0
120,86139,credit_card,4,110.11
121,40572,voucher,1,22.49
122,8102,credit_card,4,46.63
123,63428,boleto,1,52.21
124,14792,credit_card,2,61.77
125,68618,boleto,1,121.88
126,92205,credit_card,1,75.75
127,26617,credit_card,1,130.22
128,85101,credit_card,3,57.53
129,37738,credit_card,7,76.02
130,81851,boleto,1,90.17
131,61488,credit_card,1,31.0
132,30755,credit_card,10,106.77
133,73950,voucher,1,163.25
134,64892,boleto,1,233.66
135,5559,credit_card,1,163.08
136,41863,credit_card,4,135.93
137,16925,credit_card,1,267.05
138,11718,credit_card,7,186.72
139,35720,voucher,1,30.0
