,socialProductsLiked,seniority,productsWished,productsBought,city
0,0,3205,0,0,Salvador
1,0,3205,0,0,Porto Alegre
2,0,3205,0,0,Goiânia
3,0,3205,0,0,
4,0,3205,0,0,Guarulhos
5,0,3205,0,0,Maceió
6,4,3205,0,0,Maceió
7,0,3205,0,0,Natal
8,0,3205,0,0,Natal
9,0,3205,0,0,Guarulhos
10,0,3205,0,0,Salvador
11,0,3205,0,0,Goiânia
12,0,3205,0,0,Salvador
13,0,3205,0,0,Maceió
14,0,3205,0,0,Salvador
15,0,3205,0,0,Goiânia
16,0,3205,0,0,Salvador
17,370,3205,1,0,
18,1,3205,0,0,Salvador
19,0,3205,0,0,Guarulhos
20,0,3205,0,0,Maceió
21,0,3205,0,0,Salvador
22,0,3205,0,0,Porto Alegre
23,0,3205,0,0,Guarulhos
24,0,3205,0,0,Salvador
25,0,3205,0,0,Guarulhos
26,0,3205,0,0,
27,27,3205,0,0,Porto Alegre
28,0,3205,0,0,Porto Alegre
29,0,3205,9,0,
30,0,3205,0,0,Salvador
31,0,3205,0,0,Salvador
32,0,3205,0,0,Goiânia
33,0,3205,0,0,Natal
34,0,3205,0,0,Natal
35,0,3205,0,0,Guarulhos
36,0,3205,0,0,Porto Alegre
37,0,3205,0,0,
38,0,3205,0,0,Salvador
39,0,3205,0,0,Maceió
40,0,3205,0,0,Goiânia
41,0,3205,0,0,Maceió
42,0,3205,0,0,
43,2,3205,1,0,
44,0,3205,0,0,Maceió
45,0,3205,0,0,
46,0,3205,0,1,Guarulhos
47,0,3205,0,0,Natal
48,0,3205,0,0,Salvador
49,0,3205,0,0,Natal
50,1,3205,0,0,
51,1,3205,14,1,Salvador
52,0,3205,0,0,Maceió
53,0,3205,0,0,Goiânia
54,0,3205,0,0,
55,0,3205,0,0,Salvador
56,0,3205,0,0,Natal
57,1,3205,0,0,Salvador
58,0,3205,0,0,Guarulhos
59,0,3205,0,0,
60,0,3205,0,0,Salvador
61,0,3205,0,0,Goiânia
62,8,3205,0,0,Goiânia
